"rep_proj","study_num","study_title","authors","first_author","study_rep_number","journal","how","n_nhst_tot","n_error_tot","n_decision_error_tot","n_nhst_rep","ex_yn","ex_correction","ex_clear","nhst_yn","nhst_check"
"PRCA",31,"A coding-independent function of gene and pseudogene mRNAs regulates tumour biology","","Poliseno","1","Nature","pdf_search",5,NA,NA,NA,0,NA,NA,1,0
"PRCA",32,"Functional genomics reveal that the serine synthesis pathway is essential in breast Cancer","","Possemato","1","Nature","pdf_search",5,NA,NA,NA,0,NA,NA,1,0
"PRCA",33,"raf inhibitors transactivate raf dimers and erk signalling in Cells with wild-type braf","","Poulikakos","1","Nature","pdf_search",NA,NA,NA,NA,0,NA,NA,1,0
"PRCA",34,"Unresponsiveness of colon Cancer to BRAF(V600E) inhibition through feedback activation of EGFR","","Prahallad","1","Nature","pdf_search",NA,NA,NA,NA,0,NA,NA,1,0
"PRCA",35,"CCL2 recruits inflammatory monocytes to facilitate breast-tumour metastasis","","Qian","1","Nature","pdf_search",10,NA,NA,NA,0,NA,NA,1,0
"PRCA",36,"Selective killing of Cancer Cells by a small molecule targeting the stress response to ROS","","Raj","1","Nature","pdf_search",NA,NA,NA,NA,0,NA,NA,1,0
"PRCA",37,"Tumour vascularization via endothelial differentiation of glioblastoma stem-like Cells","","Ricci-Vitiani","1","Nature","pdf_search",NA,NA,NA,NA,0,NA,NA,1,0
"PRCA",38,"A Chromatin-Mediated Reversible Drug-Tolerant State in Cancer Cell Subpopulations","","Sharma","1","Cell","",NA,NA,NA,NA,0,NA,NA,1,0
"PRCA",39,"discovery and preclinical validation of drug indications using compendia of public gene expression data","","Sirota","1","Science Translational Medicine","pdf_search",3,NA,NA,NA,0,NA,NA,1,0
"PRCA",40,"Tumour micro-environment elicits innate resistance to RAF inhibitors through HGF secretion","","Straussman","1","Nature","pdf_search",3,NA,NA,NA,0,NA,NA,1,0
"PRCA",41,"Coadministration of a Tumor-Penetrating Peptide Enhances the Efficacy of Cancer Drugs","","Sugahara","1","Science","pdf_search",28,NA,NA,NA,0,NA,NA,1,0
"PRCA",42,"An Extensive MicroRNA-Mediated Network of RNA-RNA Interactions Regulates Established Oncogenic Pathways in Glioblastoma","","Sumazin","1","Cell","pdf_search",NA,NA,NA,NA,0,NA,NA,1,0
"PRCA",43,"Coding-Independent Regulation of the Tumor Suppressor PTEN by Competing Endogenous mRNAs","","Tay","1","Cell","pdf_search",127,NA,NA,NA,0,NA,NA,1,0
"PRCA",44,"Wnt activity defines colon Cancer stem Cells and is regulated by the microenvironment","","Vermeulen","1","Nature Cell BIOLOGY","pdf_search",1,NA,NA,NA,0,NA,NA,1,0
"PRCA",45,"The Common Feature of Leukemia-Associated IDH1 and IDH2 Mutations Is a Neomorphic Enzyme Activity Converting alpha-Ketoglutarate to 2-Hydroxyglutarate","","Ward","1","Cancer Cell","pdf_search",5,NA,NA,NA,0,NA,NA,1,0
"PRCA",47,"Widespread potential for growth-factor-driven resistance to antiCancer kinase inhibitors","","Wilson","1","Nature","pdf_search",5,NA,NA,NA,1,NA,1,1,0
"PRCA",48,"Oncometabolite 2-Hydroxyglutarate Is a Competitive Inhibitor of alpha-Ketoglutarate-Dependent Dioxygenases","","Xu","1","Cancer Cell","pdf_search",2,NA,NA,NA,0,NA,NA,1,0
"PRCA",49,"BRCA1 tumour suppression occurs via heterochromatin-mediated silencing","","Zhu","1","Nature","pdf_search",3,NA,NA,NA,0,NA,NA,1,0
"PRCA",50,"RNAi screen identifies Brd4 as a therapeutic target in acute myeloid leukaemia","","Zuber","1","Nature","pdf_search",3,NA,NA,NA,0,NA,NA,1,0
